item,status,category,at,location,legs,expected,found,whats_off,verify_first
toD01,verify on overlay,BENDS,toS02,"grid B-2, ~97 ft from 'BLDG 14' label",toEND-11->toEND-16,<= 180 deg cumulative,238 deg (90 + 90 + 44 + 13),exceeds by 58 deg,toS02 carries 2+ different callouts; plan-view bend total; confirm on overlay
toD02,verify on overlay,BENDS,toS05,"grid B-2, ~131 ft from 'BLDG 14' label",toJ-7->toMH-3,<= 180 deg cumulative,180 deg (135 + 45),exceeds by 0 deg,toS05 carries 2+ different callouts; toJ-7 is script-inferred (no MH/HH symbol); plan-view bend total; confirm on overlay
toD03,verify on overlay,CONFIG CHANGE MID-RUN,toS02,"grid B-2, ~97 ft from 'BLDG 14' label","toC04: 38 Core-A, 0x4in; toC06: 1 Core-A, 1x4in; toC09: 1 Core-A, 3x4in",one configuration per MH/HH-to-MH/HH run,3 different callouts,configuration changes with no MH/HH between,toS02 carries 2+ different callouts
toD04,verify on overlay,CONFIG CHANGE MID-RUN,toS05,"grid B-2, ~131 ft from 'BLDG 14' label","toC02: 2 Core-A, 1x4in; toC12: 41 Core-A, 4x4in",one configuration per MH/HH-to-MH/HH run,2 different callouts,configuration changes with no MH/HH between,toS05 carries 2+ different callouts; toJ-7 is script-inferred (no MH/HH symbol)
toD05,verify on overlay,CONFIG CHANGE MID-RUN,toS09,"grid C-5, ~49 ft from 'T6' label","toC10: 1 Core-B, 1x4in; toC11: 2 Core-B, 3x4in",one configuration per MH/HH-to-MH/HH run,2 different callouts,configuration changes with no MH/HH between,toS09 callout placed by proximity; toS09 carries 2+ different callouts
toD06,verify on overlay,CONFIG CHANGE MID-RUN,toS16,"grid D-5, ~37 ft from 'T4' label","toC18: 53 Core-B, 5x4in; toC22: 1 Core-A, 1x4in",one configuration per MH/HH-to-MH/HH run,2 different callouts,configuration changes with no MH/HH between,toS16 callout placed by proximity; toS16 carries 2+ different callouts; toJ-5 is script-inferred (no MH/HH symbol)
toD07,verify on overlay,CONFIG CHANGE MID-RUN,toS17,"grid D-1, ~126 ft from 'BLDG 12' label","toC20: 12 Core-A, 3x4in; toC21: 13 Core-A, 3x4in",one configuration per MH/HH-to-MH/HH run,2 different callouts,configuration changes with no MH/HH between,toS17 carries 2+ different callouts
toD08,verify on overlay,"COUNT CHANGE, NO VAULT",toJ-5,"grid D-4, ~42 ft from 'T2' label","Core-B: toS23=54, toS16=53; no callout on toS15",toS23 (54) = sum of other legs,other legs sum to 53,count changes 53->54 where no MH/HH is shown,toJ-5 is script-inferred (no MH/HH symbol); toS15 has no callout; toJ-6 is script-inferred (no MH/HH symbol); toS16 callout placed by proximity; toS16 carries 2+ different callouts
toD09,verify on overlay,"COUNT CHANGE, NO VAULT",toJ-7,"grid B-3, ~37 ft from 'BLDG 14' label","Core-A: toS05=41, toS03=2",toS05 (41) = sum of other legs,other legs sum to 2,count changes 2->41 where no MH/HH is shown,toJ-7 is script-inferred (no MH/HH symbol); toS05 carries 2+ different callouts
toD10,verify on overlay,COUNT IMBALANCE,toHH-3,"grid C-5, ~40 ft from 'T4' label","Core-B: toS10=3, toS09=2",toS10 (3) = sum of other legs,other legs sum to 2,off by +1 Core-B,toS09 callout placed by proximity; toS09 carries 2+ different callouts
toD11,verify on overlay,COUNT IMBALANCE,toMH-2,"grid D-3, ~53 ft from 'DATA CENTER' label","Core-A: toS21=56, toS11=54, toS12=1; no callout on toS13",toS21 (56) = sum of other legs,other legs sum to 55,off by +1 Core-A,toS13 has no callout; toJ-6 is script-inferred (no MH/HH symbol)
toD12,verify on overlay,COUNT IMBALANCE,toMH-3,"grid D-2, ~81 ft from 'DATA CENTER' label","Core-B: toS20=4, toS19=3",toS20 (4) = sum of other legs,other legs sum to 3,off by +1 Core-B,toS05 carries 2+ different callouts; toJ-7 is script-inferred (no MH/HH symbol); toS17 carries 2+ different callouts
toD13,verify on overlay,COUNT IMBALANCE,toMH-4,"grid D-4, ~50 ft from 'DATA CENTER' label","Core-B: toS22=58, toS23=54, toS20=4, toS14=1",toS22 (58) = sum of other legs,other legs sum to 59,off by -1 Core-B,toJ-6 is script-inferred (no MH/HH symbol); toJ-5 is script-inferred (no MH/HH symbol)
toD14,verify on overlay,MISSING CALLOUT,toS08,"grid C-4, ~39 ft from 'T6' label",toHH-2->toHH-1,a cable/conduit callout on the run,none attached,configuration unknown for this run,toS08 has no callout; leader may have been missed by the script
toD15,verify on overlay,MISSING CALLOUT,toS13,"grid D-3, ~50 ft from 'DATA CENTER' label",toJ-6->toMH-2,a cable/conduit callout on the run,none attached,configuration unknown for this run,toS13 has no callout; toJ-6 is script-inferred (no MH/HH symbol); leader may have been missed by the script
toD16,verify on overlay,MISSING CALLOUT,toS15,"grid D-4, ~46 ft from 'T2' label",toJ-5->toJ-6,a cable/conduit callout on the run,none attached,configuration unknown for this run,toS15 has no callout; toJ-5 is script-inferred (no MH/HH symbol); toJ-6 is script-inferred (no MH/HH symbol); leader may have been missed by the script
toD17,verify on overlay,NO CONTINUATION,toJ-7,"grid B-3, ~37 ft from 'BLDG 14' label",Core-B: toS01=1,Core-B continues on another leg,only one leg carries it,1 Core-B end at toJ-7 with no outgoing leg,toJ-7 is script-inferred (no MH/HH symbol); toS05 carries 2+ different callouts
toD18,verify on overlay,PULL LENGTH,toS02,"grid B-2, ~97 ft from 'BLDG 14' label",toEND-11->toEND-16,<= 100 ft between pull points,175 ft,exceeds limit by 75 ft,toS02 carries 2+ different callouts
toD19,verify on overlay,PULL LENGTH,toS05,"grid B-2, ~131 ft from 'BLDG 14' label",toJ-7->toMH-3,<= 250 ft between pull points,324 ft,exceeds limit by 74 ft,toS05 carries 2+ different callouts; toJ-7 is script-inferred (no MH/HH symbol)
toD20,verify on overlay,TOPOLOGY,toS18,"grid D-1, ~125 ft from 'BLDG 12' label",toJ-4->toJ-4,run between two different nodes,closed loop,script chaining artifact - not a drawing issue,toS18 is a closed loop (chaining artifact); toJ-4 is script-inferred (no MH/HH symbol)
